age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income
25.0,Private,125491,Some-college,10,Never-married,Other-service,Not-in-family,Asian-Pac-Islander,Female,0.0,0.0,34.0,United-States,<=50K
38.0,Private,85074,Assoc-acdm,12,Divorced,Adm-clerical,Unmarried,White,Female,,0.0,40.0,United-States,<=50K
34.0,Private,242361,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0.0,0.0,50.0,United-States,<=50K
40.0,Private,235371,Assoc-voc,11,Divorced,Prof-specialty,Unmarried,White,Male,0.0,0.0,40.0,United-States,<=50K
44.0,Private,124924,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,40.0,Mexico,<=50K
25.0,Private,189219,Bachelors,13,Never-married,Tech-support,Own-child,White,Female,0.0,0.0,16.0,United-States,<=50K
32.0,Private,209538,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,55.0,United-States,>50K
17.0,Private,317702,9th,5,Never-married,Other-service,Own-child,Black,Female,0.0,0.0,40.0,United-States,<=50K
54.0,Local-gov,54377,Masters,14,Divorced,Prof-specialty,Not-in-family,White,Female,0.0,,40.0,United-States,<=50K
66.0,Private,180211,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0.0,0.0,30.0,Philippines,<=50K
,Private,207853,HS-grad,9,Divorced,Craft-repair,Own-child,White,Male,0.0,0.0,40.0,United-States,<=50K
31.0,Private,222130,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0.0,0.0,,United-States,<=50K
23.0,Private,131275,HS-grad,9,Never-married,Craft-repair,Own-child,Amer-Indian-Eskimo,Male,0.0,0.0,40.0,United-States,<=50K
33.0,Federal-gov,293550,Some-college,10,Married-civ-spouse,Tech-support,Wife,White,Female,4064.0,0.0,40.0,United-States,<=50K
37.0,Private,105021,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,50.0,United-States,>50K
30.0,Private,101859,7th-8th,4,Never-married,Craft-repair,Not-in-family,White,Male,0.0,0.0,50.0,United-States,<=50K
81.0,,147097,Bachelors,13,Widowed,,Not-in-family,White,Male,0.0,0.0,5.0,United-States,<=50K
22.0,Private,496025,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,40.0,Mexico,<=50K
29.0,Private,383745,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,1887.0,30.0,United-States,>50K
28.0,Private,389713,HS-grad,9,Divorced,Protective-serv,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K
62.0,Local-gov,136787,HS-grad,9,Divorced,Transport-moving,Other-relative,White,Male,0.0,0.0,40.0,United-States,<=50K
27.0,Private,243569,11th,7,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,3942.0,0.0,40.0,United-States,<=50K
31.0,Private,181091,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,40.0,United-States,>50K
33.0,Private,62155,Some-college,10,Never-married,Sales,Not-in-family,Black,Male,0.0,0.0,35.0,United-States,<=50K
26.0,Private,224943,Assoc-voc,11,Never-married,Sales,Other-relative,Black,Male,0.0,0.0,65.0,United-States,<=50K
20.0,Private,227411,Some-college,10,Never-married,Other-service,Own-child,White,Female,0.0,0.0,20.0,United-States,<=50K
24.0,Private,190968,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,48.0,United-States,<=50K
30.0,Private,188798,Some-college,10,Divorced,Other-service,Own-child,White,Female,0.0,0.0,,United-States,<=50K
22.0,Private,267174,HS-grad,9,Never-married,Handlers-cleaners,Own-child,Black,Male,0.0,0.0,40.0,United-States,<=50K
64.0,Federal-gov,388594,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024.0,0.0,45.0,,>50K
18.0,Private,268952,12th,8,Never-married,Other-service,Own-child,White,Male,0.0,0.0,20.0,United-States,<=50K
32.0,Private,211349,10th,6,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
41.0,Private,76625,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
,,157289,11th,7,Never-married,,Unmarried,White,Male,0.0,0.0,40.0,United-States,<=50K
34.0,Private,176469,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,0.0,0.0,38.0,United-States,<=50K
21.0,,219835,Assoc-voc,11,Never-married,,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K
,Private,204584,Masters,14,Divorced,Sales,Not-in-family,White,Female,0.0,0.0,40.0,United-States,<=50K
45.0,Private,179135,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,0.0,0.0,40.0,United-States,<=50K
31.0,Self-emp-not-inc,44503,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
,Private,30713,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,0.0,30.0,United-States,<=50K
46.0,Private,188325,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
41.0,Self-emp-inc,145441,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,50.0,United-States,>50K
17.0,Self-emp-inc,181608,10th,6,Never-married,Sales,Own-child,White,Male,0.0,0.0,12.0,United-States,<=50K
42.0,Private,77373,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0.0,0.0,38.0,United-States,<=50K
24.0,Private,321763,HS-grad,9,Never-married,Exec-managerial,Not-in-family,White,Male,0.0,0.0,38.0,United-States,<=50K
44.0,Private,232421,HS-grad,9,Married-spouse-absent,Transport-moving,Not-in-family,Other,Male,0.0,0.0,32.0,Canada,<=50K
50.0,Local-gov,141875,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
19.0,Private,456572,HS-grad,9,Never-married,Farming-fishing,Other-relative,White,Male,0.0,0.0,35.0,United-States,<=50K
,Private,211022,Assoc-voc,11,Divorced,Prof-specialty,Not-in-family,White,Male,,,40.0,United-States,>50K
33.0,Private,246038,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,United-States,>50K
32.0,Private,158438,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,60.0,United-States,>50K
54.0,Private,118793,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,0.0,45.0,United-States,<=50K
,Local-gov,178356,9th,5,Married-civ-spouse,Other-service,Husband,White,Male,0.0,,40.0,United-States,<=50K
,Local-gov,163862,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,60.0,United-States,<=50K
29.0,Private,145011,Some-college,10,Never-married,Craft-repair,Own-child,White,Male,0.0,0.0,40.0,United-States,<=50K
29.0,Private,179008,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,0.0,55.0,United-States,<=50K
36.0,Private,215373,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0.0,0.0,70.0,United-States,<=50K
54.0,Private,68985,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,0.0,,55.0,United-States,>50K
,Private,250157,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0.0,0.0,63.0,United-States,<=50K
36.0,Private,246449,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,60.0,United-States,>50K
45.0,Private,185385,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
67.0,,407618,9th,5,Divorced,,Not-in-family,White,Female,2050.0,,40.0,United-States,<=50K
28.0,Self-emp-inc,32922,Assoc-voc,11,Never-married,Sales,Not-in-family,White,Male,0.0,0.0,60.0,United-States,<=50K
45.0,Private,148549,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Male,27828.0,0.0,56.0,United-States,>50K
32.0,Private,176998,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
26.0,Private,256000,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,99999.0,0.0,60.0,United-States,>50K
43.0,Private,160246,Some-college,10,Divorced,Prof-specialty,Unmarried,Black,Female,0.0,0.0,40.0,United-States,<=50K
27.0,Private,191822,HS-grad,9,Married-civ-spouse,Sales,Wife,White,Female,0.0,0.0,50.0,United-States,<=50K
26.0,Private,115717,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,2051.0,40.0,United-States,<=50K
43.0,Private,108945,Some-college,10,Divorced,Prof-specialty,Unmarried,White,Female,0.0,0.0,38.0,United-States,<=50K
45.0,Private,101320,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0.0,0.0,40.0,United-States,<=50K
41.0,Private,294270,9th,5,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,35.0,United-States,<=50K
25.0,Private,153841,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0.0,0.0,40.0,United-States,<=50K
33.0,Private,215306,Assoc-voc,11,Never-married,Other-service,Not-in-family,White,Male,0.0,0.0,40.0,Cuba,<=50K
25.0,Private,201413,Some-college,10,Never-married,Other-service,Unmarried,Black,Female,0.0,0.0,40.0,United-States,<=50K
21.0,Private,265434,Some-college,10,Never-married,Prof-specialty,Own-child,White,Female,0.0,0.0,30.0,United-States,<=50K
68.0,,257269,Bachelors,13,Married-civ-spouse,,Husband,White,Male,0.0,2377.0,35.0,United-States,>50K
73.0,,243030,Bachelors,13,Married-civ-spouse,,Husband,White,Male,0.0,0.0,30.0,United-States,<=50K
26.0,,188343,HS-grad,9,Never-married,,Unmarried,Black,Female,0.0,0.0,40.0,United-States,<=50K
40.0,Private,141657,HS-grad,9,Married-civ-spouse,Exec-managerial,Wife,White,Female,0.0,0.0,35.0,United-States,>50K
46.0,Local-gov,140219,Masters,14,Divorced,Prof-specialty,Not-in-family,White,Female,8614.0,0.0,55.0,United-States,>50K
33.0,Private,157446,11th,7,Never-married,Craft-repair,Not-in-family,White,Male,0.0,0.0,65.0,United-States,<=50K
41.0,Private,32878,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,,0.0,45.0,United-States,>50K
61.0,Local-gov,176731,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
20.0,Private,324469,Some-college,10,Never-married,Machine-op-inspct,Not-in-family,White,Female,0.0,0.0,40.0,United-States,<=50K
59.0,Private,159937,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,48.0,United-States,<=50K
42.0,Local-gov,97277,Masters,14,Divorced,Prof-specialty,Unmarried,White,Female,0.0,0.0,40.0,United-States,<=50K
31.0,Private,178370,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,0.0,0.0,99.0,United-States,>50K
,Self-emp-not-inc,138285,Assoc-acdm,12,Married-civ-spouse,Other-service,Husband,White,Male,0.0,0.0,40.0,Iran,<=50K
21.0,Private,267040,10th,6,Never-married,Prof-specialty,Unmarried,Black,Female,0.0,0.0,40.0,United-States,<=50K
47.0,Private,158451,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0.0,0.0,2.0,United-States,>50K
42.0,State-gov,190044,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024.0,0.0,50.0,United-States,>50K
48.0,Private,167009,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,0.0,0.0,48.0,United-States,<=50K
59.0,Private,145574,11th,7,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
35.0,Self-emp-inc,89622,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,50.0,United-States,>50K
47.0,Private,228583,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,,<=50K
29.0,Private,222249,HS-grad,9,Never-married,Adm-clerical,Other-relative,White,Female,0.0,0.0,40.0,United-States,<=50K
39.0,Private,183898,Assoc-acdm,12,Married-civ-spouse,Craft-repair,Husband,White,Male,7688.0,,60.0,Germany,>50K
39.0,Private,481060,HS-grad,9,Divorced,Sales,Unmarried,White,Female,0.0,0.0,,United-States,<=50K
51.0,Private,138852,HS-grad,9,Married-civ-spouse,Tech-support,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
,Private,280069,Some-college,10,Never-married,Sales,Not-in-family,White,Female,0.0,0.0,48.0,United-States,<=50K
21.0,Private,210165,9th,5,Married-spouse-absent,Handlers-cleaners,Own-child,White,Male,0.0,0.0,40.0,United-States,<=50K
33.0,Private,342730,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,,0.0,52.0,United-States,<=50K
19.0,Self-emp-inc,170125,HS-grad,9,Never-married,Sales,Own-child,White,Male,0.0,0.0,40.0,United-States,<=50K
26.0,Private,142506,Bachelors,13,Never-married,Prof-specialty,Unmarried,Black,Female,0.0,0.0,35.0,United-States,<=50K
59.0,Private,135617,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
40.0,Private,327573,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
39.0,Private,164712,Some-college,10,Never-married,Transport-moving,Unmarried,White,Male,0.0,0.0,40.0,United-States,<=50K
24.0,Private,438839,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K
21.0,Private,100462,Assoc-voc,11,Never-married,Exec-managerial,Own-child,White,Female,2174.0,0.0,60.0,United-States,<=50K
39.0,Local-gov,116666,HS-grad,9,Never-married,Protective-serv,Own-child,Amer-Indian-Eskimo,Male,4650.0,0.0,48.0,United-States,<=50K
33.0,Private,160784,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
56.0,Private,100776,HS-grad,9,Married-civ-spouse,Sales,Wife,White,Female,0.0,0.0,50.0,United-States,<=50K
48.0,Self-emp-not-inc,30840,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,5013.0,0.0,45.0,United-States,<=50K
27.0,State-gov,271243,Some-college,10,Divorced,Adm-clerical,Unmarried,Black,Male,0.0,0.0,40.0,Jamaica,<=50K
36.0,Self-emp-not-inc,129150,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,0.0,50.0,United-States,>50K
45.0,Private,184277,Assoc-voc,11,Divorced,Adm-clerical,Unmarried,White,Female,0.0,0.0,55.0,United-States,>50K
,Private,102096,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,40.0,,>50K
39.0,Private,746786,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,55.0,United-States,>50K
57.0,Private,199847,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024.0,0.0,60.0,United-States,>50K
48.0,Private,139290,10th,6,Separated,Machine-op-inspct,Own-child,White,Female,0.0,0.0,48.0,United-States,<=50K
56.0,Self-emp-not-inc,179594,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,48.0,United-States,<=50K
32.0,Private,255424,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0.0,,60.0,United-States,>50K
18.0,Self-emp-not-inc,258474,10th,6,Never-married,Farming-fishing,Own-child,White,Male,0.0,0.0,40.0,United-States,<=50K
36.0,,187167,HS-grad,9,Separated,,Not-in-family,White,Female,0.0,0.0,30.0,United-States,<=50K
44.0,Federal-gov,320071,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,>50K
62.0,Self-emp-not-inc,158712,HS-grad,9,Never-married,Other-service,Unmarried,White,Female,0.0,0.0,6.0,United-States,<=50K
66.0,,206560,HS-grad,9,Widowed,,Not-in-family,Other,Female,0.0,0.0,35.0,Puerto-Rico,<=50K
41.0,Private,170230,Bachelors,13,Divorced,Exec-managerial,Unmarried,White,Female,0.0,0.0,45.0,United-States,<=50K
,Private,172186,Some-college,10,Separated,Craft-repair,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K
,Private,250536,Some-college,10,Separated,Other-service,Unmarried,Black,Female,0.0,0.0,21.0,Haiti,<=50K
33.0,Private,139057,Masters,14,Married-civ-spouse,Tech-support,Husband,Asian-Pac-Islander,Male,0.0,0.0,50.0,United-States,>50K
39.0,Private,192251,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,0.0,0.0,40.0,United-States,>50K
67.0,Self-emp-inc,330144,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,48.0,United-States,>50K
67.0,Private,105252,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Male,7978.0,0.0,35.0,United-States,<=50K
36.0,Federal-gov,67317,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,,0.0,40.0,United-States,<=50K
29.0,Local-gov,214706,HS-grad,9,Never-married,Other-service,Unmarried,White,Female,0.0,0.0,40.0,United-States,<=50K
37.0,Private,37238,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0.0,0.0,45.0,United-States,<=50K
48.0,Self-emp-inc,148995,Bachelors,13,Divorced,Sales,Not-in-family,White,Male,0.0,0.0,60.0,United-States,>50K
,Private,215288,11th,7,Never-married,Handlers-cleaners,Own-child,Black,Male,0.0,0.0,40.0,United-States,<=50K
33.0,Private,181091,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,,0.0,60.0,Iran,>50K
,Private,184553,10th,6,Divorced,Craft-repair,Not-in-family,White,Male,0.0,0.0,56.0,United-States,<=50K
36.0,State-gov,243666,HS-grad,9,Divorced,Adm-clerical,Own-child,Black,Female,0.0,0.0,40.0,United-States,<=50K
37.0,Private,22463,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,1977.0,40.0,United-States,>50K
90.0,Private,51744,HS-grad,9,Never-married,Other-service,Not-in-family,Black,Male,0.0,2206.0,40.0,United-States,<=50K
42.0,Local-gov,263871,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,0.0,8.0,United-States,<=50K
67.0,,274451,7th-8th,4,Married-civ-spouse,,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
33.0,Private,196385,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,37.0,United-States,>50K
21.0,Private,143062,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Male,0.0,0.0,,United-States,<=50K
27.0,Private,36440,Bachelors,13,Never-married,Sales,Not-in-family,White,Female,0.0,0.0,40.0,United-States,<=50K
21.0,Private,230248,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0.0,0.0,25.0,United-States,<=50K
18.0,,298133,Some-college,10,Never-married,,Own-child,White,Male,0.0,0.0,40.0,United-States,<=50K
,Private,33725,Masters,14,Divorced,Prof-specialty,Not-in-family,White,Male,0.0,0.0,20.0,United-States,<=50K
17.0,Private,100828,Some-college,10,Never-married,Adm-clerical,Own-child,White,Male,0.0,0.0,20.0,United-States,<=50K
78.0,,292019,7th-8th,4,Married-civ-spouse,,Husband,White,Male,0.0,0.0,20.0,United-States,<=50K
33.0,Private,80058,HS-grad,9,Never-married,Other-service,Own-child,White,Male,0.0,0.0,48.0,United-States,<=50K
34.0,Self-emp-inc,154227,Some-college,10,Never-married,Sales,Not-in-family,White,Male,0.0,0.0,75.0,United-States,<=50K
42.0,Private,245626,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Amer-Indian-Eskimo,Male,0.0,0.0,60.0,United-States,<=50K
48.0,Self-emp-not-inc,162236,Masters,14,Widowed,Exec-managerial,Unmarried,White,Female,0.0,0.0,40.0,,>50K
34.0,Private,33117,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
38.0,Private,82552,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,594.0,0.0,50.0,United-States,<=50K
37.0,Self-emp-not-inc,352882,HS-grad,9,Divorced,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,0.0,0.0,70.0,South,>50K
19.0,,308064,HS-grad,9,Never-married,,Not-in-family,Black,Female,0.0,0.0,,United-States,<=50K
17.0,Private,218124,11th,7,Never-married,Sales,Own-child,White,Female,0.0,0.0,20.0,United-States,<=50K
27.0,,182386,11th,7,Divorced,,Unmarried,White,Female,0.0,0.0,35.0,United-States,<=50K
36.0,Federal-gov,153066,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,,United-States,>50K
38.0,Private,607848,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,40.0,United-States,>50K
48.0,Private,155509,Some-college,10,Never-married,Craft-repair,Not-in-family,Black,Female,0.0,0.0,,United-States,<=50K
25.0,Private,200408,Assoc-acdm,12,Never-married,Craft-repair,Own-child,White,Male,,0.0,40.0,United-States,<=50K
49.0,Private,235683,Some-college,10,Married-civ-spouse,Sales,Wife,White,Female,0.0,0.0,40.0,United-States,>50K
40.0,Private,272960,Assoc-acdm,12,Married-civ-spouse,Tech-support,Husband,White,Male,0.0,0.0,42.0,United-States,>50K
22.0,Private,50058,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0.0,0.0,35.0,United-States,<=50K
35.0,Local-gov,116960,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,1887.0,40.0,United-States,>50K
43.0,Federal-gov,347720,Bachelors,13,Never-married,Tech-support,Not-in-family,White,Male,0.0,0.0,50.0,United-States,<=50K
21.0,Private,61777,Some-college,10,Never-married,Craft-repair,Not-in-family,White,Male,0.0,0.0,70.0,United-States,<=50K
46.0,Private,176552,11th,7,Divorced,Prof-specialty,Unmarried,Amer-Indian-Eskimo,Male,0.0,0.0,40.0,United-States,>50K
34.0,Local-gov,51543,Some-college,10,Never-married,Other-service,Not-in-family,White,Male,0.0,0.0,,United-States,<=50K
37.0,Private,238433,1st-4th,2,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,40.0,Cuba,<=50K
17.0,Private,99161,10th,6,Never-married,Other-service,Own-child,White,Male,0.0,0.0,8.0,United-States,<=50K
57.0,Federal-gov,170603,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,0.0,40.0,United-States,>50K
46.0,Private,191389,HS-grad,9,Married-civ-spouse,Exec-managerial,Wife,White,Female,0.0,0.0,28.0,United-States,>50K
39.0,Private,91711,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,,40.0,United-States,>50K
30.0,Federal-gov,295010,Bachelors,13,Never-married,Protective-serv,Not-in-family,White,Female,0.0,0.0,60.0,United-States,>50K
23.0,Private,177526,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,,0.0,40.0,United-States,<=50K
56.0,Self-emp-not-inc,385632,7th-8th,4,Divorced,Other-service,Unmarried,White,Female,0.0,0.0,40.0,United-States,<=50K
21.0,Private,253190,HS-grad,9,Never-married,Other-service,Own-child,White,Male,0.0,0.0,40.0,United-States,<=50K
40.0,Private,117917,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,0.0,0.0,50.0,United-States,<=50K
61.0,Private,181219,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,1848.0,40.0,United-States,>50K
44.0,Private,191256,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
30.0,Private,170154,Bachelors,13,Never-married,Tech-support,Not-in-family,White,Female,0.0,0.0,40.0,United-States,>50K
,Private,265706,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,7298.0,0.0,40.0,United-States,>50K
63.0,Self-emp-not-inc,125178,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,United-States,>50K
34.0,Private,231238,9th,5,Separated,Farming-fishing,Unmarried,Black,Male,0.0,0.0,40.0,United-States,<=50K
54.0,Private,117674,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,United-States,>50K
61.0,,175032,HS-grad,9,Married-civ-spouse,,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
28.0,,123147,Some-college,10,Married-civ-spouse,,Wife,White,Female,0.0,1887.0,40.0,United-States,>50K
42.0,Private,31387,Doctorate,16,Married-spouse-absent,Prof-specialty,Unmarried,Amer-Indian-Eskimo,Female,0.0,0.0,40.0,United-States,<=50K
30.0,Private,122042,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,45.0,United-States,>50K
18.0,Private,387568,10th,6,Never-married,Sales,Own-child,White,Male,0.0,0.0,10.0,United-States,<=50K
58.0,Private,343957,Bachelors,13,Divorced,Sales,Not-in-family,White,Male,0.0,0.0,50.0,United-States,<=50K
25.0,Private,135568,9th,5,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
53.0,Private,94081,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,44.0,United-States,>50K
46.0,Private,82946,HS-grad,9,Never-married,Sales,Not-in-family,White,Female,0.0,0.0,40.0,United-States,<=50K
56.0,,192325,Some-college,10,Divorced,,Not-in-family,White,Female,0.0,0.0,20.0,United-States,<=50K
26.0,Private,195555,Bachelors,13,Never-married,Sales,Not-in-family,White,Female,0.0,0.0,40.0,United-States,<=50K
41.0,Local-gov,185057,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,,0.0,40.0,United-States,<=50K
55.0,Self-emp-inc,257216,Masters,14,Widowed,Sales,Not-in-family,White,Female,0.0,0.0,40.0,United-States,<=50K
55.0,Private,223127,9th,5,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
31.0,Private,217962,Some-college,10,Never-married,Protective-serv,Other-relative,Black,Male,0.0,0.0,40.0,,<=50K
29.0,Private,128509,HS-grad,9,Married-spouse-absent,Machine-op-inspct,Not-in-family,White,Female,0.0,0.0,,El-Salvador,<=50K
35.0,Self-emp-not-inc,230268,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
20.0,Private,218962,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K
24.0,Private,200997,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,0.0,,45.0,United-States,<=50K
,Private,47247,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0.0,0.0,40.0,United-States,<=50K
33.0,Self-emp-not-inc,177828,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0.0,0.0,50.0,United-States,<=50K
58.0,Private,212534,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
31.0,Private,241360,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K
65.0,Self-emp-not-inc,22907,7th-8th,4,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
44.0,Private,35910,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,1902.0,56.0,United-States,>50K
25.0,Private,211424,Bachelors,13,Never-married,Exec-managerial,Own-child,White,Male,0.0,0.0,40.0,United-States,<=50K
